NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime
0	511598019	1929566653	1.000000	-10.800000	-9.800000	-1.000000	6.000000	0.045541
0	511598019	1426207337	42.000000	-37.800000	4.200000	-42.000000	14.100000	5.537667
0	511598019	145198463	34.000000	-35.800000	-1.800000	-34.000000	13.800000	2.647579
0	511598019	1956326956	41.000000	-38.100000	2.900000	-41.000000	15.100000	3.148184
0	511598019	1416286166	7.000000	-2.300000	4.700000	-7.000000	4.000000	0.047086
0	511598019	1475627305	64.000000	-44.500000	19.500000	-64.000000	17.800000	6.495945
0	511598019	234233714	41.000000	-38.200000	2.800000	-41.000000	14.600000	2.829022
0	511598019	1563923937	46.000000	-41.700000	4.300000	-46.000000	17.200000	5.993869
0	511598019	1289950333	10.000000	-4.200000	5.800000	-10.000000	4.600000	0.042639
0	511598019	1536636757	51.000000	-38.100000	12.900000	-51.000000	14.400000	5.734539
0	511598019	1026607279	32.000000	-36.400000	-4.400000	-32.000000	15.500000	3.154514
0	511598019	440652129	33.000000	-34.700000	-1.700000	-33.000000	13.800000	5.565681
0	511598019	359963559	44.000000	-33.200000	10.800000	-44.000000	14.800000	10.410868
0	511598019	450167256	83.000000	-58.500000	24.500000	-83.000000	24.000000	13.497438
0	511598019	657192069	47.000000	-35.800000	11.200000	-47.000000	13.000000	2.825265
0	511598019	824660801	10.000000	-6.500000	3.500000	-10.000000	7.600000	3.385598
0	511598019	1997325485	49.000000	-37.600000	11.400000	-49.000000	14.000000	5.723239
0	511598019	1647853499	29.000000	-32.200000	-3.200000	-29.000000	12.800000	4.673267
0	511598019	1275898810	26.000000	-33.400000	-7.400000	-26.000000	13.000000	3.348418
0	511598019	1648357174	50.000000	-45.300000	4.700000	-50.000000	18.000000	6.052869
0	511598019	607305776	56.000000	-46.800000	9.200000	-56.000000	19.400000	5.735169
0	511598019	1230080626	33.000000	-36.200000	-3.200000	-33.000000	14.700000	3.257903
0	511598019	877010503	13.000000	-5.600000	7.400000	-13.000000	4.600000	0.055437
0	511598019	675679818	50.000000	-44.000000	6.000000	-50.000000	18.300000	10.901166
0	511598019	2066448049	39.000000	-37.700000	1.300000	-39.000000	16.800000	5.222922
0	511598019	314750474	59.000000	-35.400000	23.600000	-59.000000	15.900000	4.687278
0	511598019	1566979825	64.000000	-36.900000	27.100000	-64.000000	14.600000	5.143830
0	511598019	770386845	32.000000	-34.400000	-2.400000	-32.000000	14.200000	2.833928
0	511598019	215295718	67.000000	-35.500000	31.500000	-67.000000	14.700000	6.326096
0	511598019	1726009719	30.000000	-33.700000	-3.700000	-30.000000	14.000000	3.247685
0	511598019	847918047	66.000000	-50.400000	15.600000	-66.000000	20.100000	6.650067
0	511598019	464754615	9.000000	-22.600000	-13.600000	-9.000000	12.600000	2.165041
0	511598019	614667128	37.000000	-34.000000	3.000000	-37.000000	12.500000	2.921551
0	511598019	1241378383	34.000000	-37.000000	-3.000000	-34.000000	15.200000	3.428349
0	511598019	175393213	50.000000	-46.000000	4.000000	-50.000000	18.600000	5.960719
