NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	NumFurgos	ExecutionTime	NodesExpanded
0	1959268874	777725873	93,000000	-23,200000	69,800000	-50069,800000	9,300000	5	5104,223900	50001
0	1959268874	777725873	116,000000	-30,600000	85,400000	-50085,400000	16,700000	10	5728,641000	50001
0	1959268874	777725873	123,000000	-38,600000	84,400000	-50084,400000	27,700000	15	7279,655400	50001
0	1959268874	777725873	101,000000	-46,100000	54,900000	-50054,900000	36,900000	20	7141,972500	50001
0	1959268874	777725873	79,000000	-52,800000	26,200000	-50026,200000	68,900000	25	7797,552200	50001
0	1959268874	1951907505	89,000000	-27,600000	61,400000	-50061,400000	14,500000	5	3620,178800	50001
0	1959268874	1951907505	121,000000	-30,200000	90,800000	-50090,800000	18,600000	10	5940,044300	50001
0	1959268874	1951907505	124,000000	-36,200000	87,800000	-50087,800000	25,200000	15	7195,397000	50001
0	1959268874	1951907505	95,000000	-45,600000	49,400000	-50049,400000	33,300000	20	7007,387800	50001
0	1959268874	1951907505	75,000000	-45,000000	30,000000	-50030,000000	56,100000	25	7198,942200	50001
0	1959268874	1701564793	85,000000	-20,000000	65,000000	-50065,000000	9,300000	5	3871,803500	50001
0	1959268874	1701564793	113,000000	-28,900000	84,100000	-50084,100000	18,600000	10	6519,653000	50001
0	1959268874	1701564793	112,000000	-40,400000	71,600000	-50071,600000	25,600000	15	7077,498800	50001
0	1959268874	1701564793	116,000000	-45,700000	70,300000	-50070,300000	34,700000	20	7489,417000	50001
0	1959268874	1701564793	70,000000	-51,300000	18,700000	-50018,700000	57,700000	25	7005,949500	50001
0	1959268874	329576801	91,000000	-23,200000	67,800000	-50067,800000	9,300000	5	3807,842500	50001
0	1959268874	329576801	112,000000	-27,700000	84,300000	-50084,300000	16,700000	10	5519,533300	50001
0	1959268874	329576801	107,000000	-35,200000	71,800000	-50071,800000	28,300000	15	6464,420100	50001
0	1959268874	329576801	97,000000	-41,000000	56,000000	-50056,000000	35,600000	20	7073,055900	50001
0	1959268874	329576801	85,000000	-51,900000	33,100000	-50033,100000	55,200000	25	7308,079000	50001
