NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime	NodesExpanded
9	1579791630	1457646126	73.000000	-96.600000	-23.600000	-73.000000	50.700000	23.175839	9
10	1579791630	1602096509	83.000000	-125.000000	-42.000000	-83.000000	55.100000	19.982146	10
11	1579791630	925152821	63.000000	-80.700000	-17.700000	-63.000000	42.500000	12.499672	7
12	1579791630	85104225	56.000000	-62.800000	-6.800000	-56.000000	35.000000	14.350575	10
13	1579791630	283294534	70.000000	-81.500000	-11.500000	-70.000000	48.500000	18.055031	9
14	1579791630	1996942305	65.000000	-94.000000	-29.000000	-65.000000	49.700000	33.067886	12
15	1579791630	674613361	71.000000	-69.100000	1.900000	-71.000000	36.500000	25.076733	9
16	1579791630	806069774	86.000000	-64.700000	21.300000	-86.000000	31.100000	19.074036	8
17	1579791630	190376611	78.000000	-69.600000	8.400000	-78.000000	33.600000	17.825162	9
18	1579791630	561861242	54.000000	-65.000000	-11.000000	-54.000000	49.400000	16.360552	9
19	1579791630	379831758	58.000000	-36.300000	21.700000	-58.000000	21.700000	18.156139	10
20	1579791630	884153596	81.000000	-111.100000	-30.100000	-81.000000	51.100000	20.256830	8
21	1579791630	874544929	82.000000	-116.700000	-34.700000	-82.000000	52.600000	21.331382	9
22	1579791630	1684238859	57.000000	-67.700000	-10.700000	-57.000000	42.100000	12.526637	7
23	1579791630	1408217868	60.000000	-73.400000	-13.400000	-60.000000	44.500000	16.927939	10
24	1579791630	184526607	87.000000	-84.600000	2.400000	-87.000000	38.900000	20.583084	9
25	1579791630	2855016	90.000000	-77.200000	12.800000	-90.000000	42.300000	15.942098	7
26	1579791630	195972940	50.000000	-119.500000	-69.500000	-50.000000	85.300000	16.698382	9
27	1579791630	1253233836	65.000000	-138.000000	-73.000000	-65.000000	76.100000	21.947813	10
28	1579791630	1176276020	69.000000	-98.600000	-29.600000	-69.000000	55.700000	16.281708	7
29	1579791630	248905680	69.000000	-48.000000	21.000000	-69.000000	25.900000	17.322017	12
30	1579791630	1683569956	64.000000	-73.600000	-9.600000	-64.000000	45.200000	21.315732	11
31	1579791630	2146221348	67.000000	-67.400000	-0.400000	-67.000000	51.100000	15.901504	9
32	1579791630	569483008	61.000000	-96.400000	-35.400000	-61.000000	45.900000	16.713479	10
33	1579791630	1040128429	74.000000	-74.100000	-0.100000	-74.000000	35.700000	20.493767	12
34	1579791630	1932885994	53.000000	-86.800000	-33.800000	-53.000000	50.200000	15.428705	10
35	1579791630	1653457276	66.000000	-75.900000	-9.900000	-66.000000	37.400000	14.108541	7
36	1579791630	58840273	64.000000	-69.600000	-5.600000	-64.000000	42.200000	11.433918	6
37	1579791630	985538315	69.000000	-97.400000	-28.400000	-69.000000	47.500000	13.156282	6
38	1579791630	1414732105	75.000000	-87.600000	-12.600000	-75.000000	57.800000	21.753401	10
39	1579791630	1029887615	37.000000	-46.100000	-9.100000	-37.000000	35.600000	13.043270	10
40	1579791630	1632470063	72.000000	-27.000000	45.000000	-72.000000	17.300000	14.779184	7
41	1579791630	1613149780	71.000000	-54.300000	16.700000	-71.000000	37.700000	18.398043	10
42	1579791630	1040169639	83.000000	-94.400000	-11.400000	-83.000000	40.800000	21.109332	10
43	1579791630	522704582	75.000000	-38.200000	36.800000	-75.000000	23.600000	17.591827	8
44	1579791630	562383955	57.000000	-64.300000	-7.300000	-57.000000	47.200000	10.784616	6
45	1579791630	254952626	76.000000	-29.700000	46.300000	-76.000000	17.100000	16.160507	8
46	1579791630	620290313	67.000000	-66.300000	0.700000	-67.000000	52.300000	12.818858	8
47	1579791630	1613049508	60.000000	-96.900000	-36.900000	-60.000000	49.300000	15.438505	9
48	1579791630	142255312	75.000000	-75.900000	-0.900000	-75.000000	34.100000	14.229904	7
49	1579791630	411250602	51.000000	-62.900000	-11.900000	-51.000000	35.800000	11.778914	8
0	133477094	1832538845	80.000000	-88.700000	-8.700000	-80.000000	42.100000	21.533578	10
1	133477094	1787567436	70.000000	-78.900000	-8.900000	-70.000000	44.700000	22.210689	11
2	133477094	1556214229	50.000000	-68.700000	-18.700000	-50.000000	39.500000	17.660073	8
3	133477094	785467821	56.000000	-78.200000	-22.200000	-56.000000	45.000000	18.739800	11
4	133477094	532521054	37.000000	-49.400000	-12.400000	-37.000000	39.600000	13.451477	9
5	133477094	1085169010	37.000000	-50.000000	-13.000000	-37.000000	30.200000	13.212823	11
6	133477094	969644899	68.000000	-90.500000	-22.500000	-68.000000	45.300000	22.816166	12
7	133477094	288252504	47.000000	-55.500000	-8.500000	-47.000000	35.700000	14.912495	10
8	133477094	231463902	52.000000	-88.800000	-36.800000	-52.000000	59.600000	14.114296	10
9	133477094	117566458	78.000000	-84.400000	-6.400000	-78.000000	42.800000	19.694534	9
10	133477094	379951836	53.000000	-100.600000	-47.600000	-53.000000	54.400000	17.903358	9
11	133477094	1215843992	48.000000	-73.000000	-25.000000	-48.000000	47.200000	16.972254	13
12	133477094	978949084	36.000000	-52.300000	-16.300000	-36.000000	33.500000	13.686637	10
13	133477094	709232778	60.000000	-89.200000	-29.200000	-60.000000	47.800000	19.451778	10
